"finished","consent","academic_yes_no","research_yes_no","gender","title","discipline","last_published","academia_length","phd_dissertation","bat_1","bat_2","bat_3","bat_4","ppqr_1","ppqr_2","ppqr_3","ppqr_4","ppqr_5","ppqr_6","ppqr_7","ppqr_8","ppqr_9","ppqr_10","ppqr_11","ppqr_12","ppqr_13","ppqr_14","ppqr_15","ppqr_16","ppqr_17","ppqr_18","jis_1","jis_2","jis_3","jis_4","wlbm_1","wlbm_2","wlbm_3","wlbm_4","copsoq_workload_1","copsoq_workload_2","copsoq_workload_3","copsoq_workload_4","copsoq_workload_5","copsoq_soc_sup_1","copsoq_soc_sup_2","copsoq_soc_sup_3","copsoq_soc_sup_4","copsoq_soc_sup_5","copsoq_soc_sup_6","copsoq_oppor_1","copsoq_oppor_2","copsoq_oppor_3","attention_2","qrp_attitude_1","qrp_attitude_2","qrp_attitude_3","qrp_attitude_4","qrp_attitude_5","qrp_attitude_6","qrp_attitude_7","qrp_attitude_8","copsoq_infl_1","copsoq_infl_2","copsoq_infl_3","copsoq_infl_4","copsoq_infl_5","copsoq_infl_6","copsoq_meaning_1","copsoq_meaning_2","role_ambiguity_1","role_ambiguity_2","role_ambiguity_3","role_ambiguity_4","role_ambiguity_5","role_ambiguity_6","role_ambiguity_7","role_ambiguity_8","role_ambiguity_9","role_ambiguity_10","role_ambiguity_11","role_ambiguity_12","pay_satisfaction_1","pay_satisfaction_2","tool_satisfaction_1","tool_satisfaction_2","general_satisfaction_1","general_satisfaction_2","open_time","anonym_id","attention"
TRUE,TRUE,TRUE,TRUE,"Non-binary / third gender","Post Doc","STEM (science, technology, engineering, mathematics)","This year","1-5 years","","Always","Always","Always","Always","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Always","Never","Always","Always","Rarely","Never","Never","Never","Never","Never","Never","Never","Sometimes","Never","Strongly agree","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Somewhat unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Never","Sometimes","Rarely","Never","Sometimes","Rarely","Never","Never","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Very satisfied","Very satisfied","Very satisfied","Very dissatisfied","Very dissatisfied","Very dissatisfied","Agree",1,"Passed"
TRUE,TRUE,TRUE,TRUE,"Man","Assistant Professor","Non-STEM","This year","More than 10 years","","Sometimes","Sometimes","Rarely","Rarely","Strongly disagree","Strongly agree","Strongly agree","Agree","Agree","Strongly disagree","Strongly disagree","Strongly agree","Agree","Agree","Agree","Agree","Strongly disagree","Agree","Strongly agree","Strongly disagree","Neither agree nor disagree","Agree","Somewhat agree","Somewhat disagree","Strongly agree","Somewhat disagree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Always","Always","Always","Rarely","Rarely","Sometimes","Rarely","Rarely","Sometimes","Often","Never","Often","Often","Often","Strongly agree","Completely unacceptable","Completely unacceptable","Completely unacceptable","Somewhat unacceptable","Neither acceptable or unacceptable","Completely unacceptable","Completely unacceptable","Somewhat unacceptable","Often","Always","Rarely","Often","Sometimes","Often","Sometimes","Rarely","Strongly disagree","Agree","Strongly disagree","Agree","Agree","Neither agree nor disagree","Strongly agree","Strongly disagree","Disagree","Disagree","Strongly disagree","Strongly disagree","Dissatisfied","Dissatisfied","Very dissatisfied","Satisfied","Dissatisfied","Dissatisfied","Agree",2,"Passed"
TRUE,TRUE,TRUE,TRUE,"Man","Full Professor","Non-STEM","This year","More than 10 years","","Often","Often","Rarely","Often","Strongly disagree","Strongly disagree","Agree","Disagree","Disagree","Strongly agree","Disagree","Agree","Strongly agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Agree","Agree","Strongly agree","Strongly disagree","Neither agree nor disagree","Strongly agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Sometimes","Often","Sometimes","Sometimes","Rarely","Always","Always","Often","Often","Often","Rarely","Often","Always","Always","Strongly agree","Completely unacceptable","Completely unacceptable","Completely unacceptable","Somewhat unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Always","Always","Sometimes","Often","Always","Always","Often","Often","Agree","Agree","Slightly disagree","Slightly agree","Slightly disagree","Agree","Strongly agree","Disagree","Slightly disagree","Disagree","Neither agree nor disagree","Disagree","Dissatisfied","Dissatisfied","Dissatisfied","Satisfied","Satisfied","Slightly satisfied","Agree",3,"Passed"
TRUE,TRUE,TRUE,TRUE,"Woman","PhD student","STEM (science, technology, engineering, mathematics)","More than 10 years ago or Never","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4,"Failed"
TRUE,TRUE,TRUE,TRUE,"Woman","PhD student","STEM (science, technology, engineering, mathematics)","This year","1-5 years","3-4 articles","Sometimes","Sometimes","Sometimes","Often","Agree","Agree","Agree","Agree","Disagree","Disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Strongly agree","Agree","Agree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Often","Sometimes","Sometimes","Rarely","Rarely","Sometimes","Sometimes","Sometimes","Rarely","Rarely","Rarely","Often","Often","Often","Strongly disagree","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Sometimes","Sometimes","Rarely","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Agree","Agree","Disagree","Slightly agree","Slightly agree","Slightly agree","Agree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Slightly satisfied","Slightly satisfied","Dissatisfied","Slightly dissatisfied","Dissatisfied","Dissatisfied","Agree",5,"Passed"
TRUE,TRUE,TRUE,TRUE,"Woman","Associate Professor","Non-STEM","This year","More than 10 years","","Sometimes","Sometimes","Rarely","Rarely","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Agree","Agree","Agree","Agree","Neither agree nor disagree","Disagree","Agree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Strongly agree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Often","Never","Often","Rarely","Rarely","Rarely","Rarely","Rarely","Sometimes","Often","Sometimes","Often","Always","Always","Strongly agree","Completely unacceptable","Completely unacceptable","Completely unacceptable","Somewhat unacceptable","Neither acceptable or unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Often","Often","Rarely","Sometimes","Sometimes","Often","Always","Always","Agree","Neither agree nor disagree","Slightly disagree","Slightly agree","Slightly disagree","Slightly agree","Slightly agree","Slightly agree","Slightly disagree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Very satisfied","Slightly satisfied","Slightly satisfied","Neither satisfied nor dissatisfied","Agree",6,"Passed"
TRUE,TRUE,TRUE,TRUE,"Man","Assistant Professor","Non-STEM","This year","More than 10 years","","Sometimes","Sometimes","Rarely","Often","Agree","Strongly agree","Strongly agree","Agree","Disagree","Disagree","Neither agree nor disagree","Agree","Agree","Agree","Neither agree nor disagree","Strongly agree","Agree","Agree","Strongly agree","Strongly disagree","Disagree","Agree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Often","Often","Often","Rarely","Rarely","Often","Often","Sometimes","Often","Often","Sometimes","Sometimes","Often","Sometimes","Strongly agree","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Somewhat unacceptable","Completely unacceptable","Neither acceptable or unacceptable","Neither acceptable or unacceptable","Often","Often","Sometimes","Often","Rarely","Sometimes","Often","Often","Agree","Neither agree nor disagree","Slightly disagree","Agree","Disagree","Slightly agree","Slightly agree","Slightly agree","Slightly disagree","Slightly disagree","Slightly disagree","Disagree","Dissatisfied","Dissatisfied","Dissatisfied","Neither satisfied nor dissatisfied","Slightly satisfied","Satisfied","Agree",7,"Passed"
TRUE,TRUE,TRUE,TRUE,"Man","Full Professor","Non-STEM","In the last year","More than 10 years","","Rarely","Rarely","Rarely","Rarely","Strongly disagree","Disagree","Disagree","Disagree","Agree","Strongly agree","Neither agree nor disagree","Agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","Agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Sometimes","Often","Sometimes","Often","Rarely","Always","Always","Sometimes","Often","Often","Sometimes","Always","Always","Always","Strongly agree","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Somewhat unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Often","Sometimes","Sometimes","Often","Sometimes","Often","Often","Sometimes","Strongly disagree","Slightly disagree","Slightly agree","Slightly agree","Agree","Disagree","Slightly agree","Disagree","Slightly disagree","Disagree","Agree","Strongly disagree","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Agree",8,"Passed"
TRUE,TRUE,TRUE,TRUE,"Man","Full Professor","Non-STEM","This year","More than 10 years","","Rarely","Sometimes","Rarely","Sometimes","Disagree","Disagree","Agree","Neither agree nor disagree","Disagree","Agree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Somewhat disagree","Somewhat agree","Somewhat agree","Strongly disagree","Somewhat agree","Strongly disagree","Somewhat agree","Somewhat agree","Often","Often","Often","Rarely","Rarely","Sometimes","Sometimes","Rarely","Often","Often","Sometimes","Often","Often","Often","Strongly agree","Somewhat unacceptable","Completely unacceptable","Completely unacceptable","Somewhat unacceptable","Somewhat acceptable","Completely unacceptable","Somewhat unacceptable","Neither acceptable or unacceptable","Often","Often","Sometimes","Sometimes","Sometimes","Often","Sometimes","Sometimes","Slightly disagree","Slightly agree","Slightly disagree","Neither agree nor disagree","Agree","Slightly agree","Strongly agree","Disagree","Slightly agree","Slightly agree","Slightly disagree","Slightly agree","Very satisfied","Satisfied","Satisfied","Slightly satisfied","Slightly satisfied","Slightly satisfied","Agree",9,"Passed"
TRUE,TRUE,TRUE,TRUE,"Woman","Post Doc","Non-STEM","This year","More than 10 years","","Sometimes","Sometimes","Rarely","Often","Strongly agree","Disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Neither agree nor disagree","Strongly agree","Agree","Agree","Agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Strongly disagree","Strongly agree","Neither agree nor disagree","Strongly disagree","Strongly agree","Strongly disagree","Somewhat agree","Strongly agree","Sometimes","Sometimes","Never","Often","Rarely","Always","Always","Rarely","Often","Often","Never","Sometimes","Often","Sometimes","Strongly agree","Neither acceptable or unacceptable","Completely unacceptable","Neither acceptable or unacceptable","Completely unacceptable","Neither acceptable or unacceptable","Completely unacceptable","Neither acceptable or unacceptable","Neither acceptable or unacceptable","Often","Sometimes","Rarely","Sometimes","Often","Always","Often","Often","Slightly agree","Neither agree nor disagree","Slightly agree","Agree","Disagree","Slightly agree","Strongly disagree","Slightly disagree","Strongly disagree","Strongly disagree","Neither agree nor disagree","Strongly disagree","Slightly dissatisfied","Slightly satisfied","Dissatisfied","Slightly satisfied","Slightly satisfied","Slightly satisfied","Agree",10,"Passed"
TRUE,TRUE,TRUE,TRUE,"Woman","Assistant Professor","Non-STEM","This year","More than 10 years","","Often","Sometimes","Rarely","Sometimes","Disagree","Strongly agree","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Agree","Agree","Strongly agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Disagree","Agree","Strongly disagree","Strongly agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Sometimes","Sometimes","Sometimes","Sometimes","Rarely","Rarely","Never","Never","Sometimes","Sometimes","Sometimes","Sometimes","Often","Often","Strongly agree","Completely unacceptable","Completely unacceptable","Completely unacceptable","Somewhat unacceptable","Somewhat unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Sometimes","Often","Sometimes","Often","Often","Often","Often","Often","Slightly disagree","Slightly agree","Slightly disagree","Slightly agree","Slightly agree","Slightly agree","Slightly agree","Slightly agree","Slightly disagree","Slightly disagree","Slightly disagree","Neither agree nor disagree","Dissatisfied","Dissatisfied","Dissatisfied","Dissatisfied","Slightly satisfied","Slightly satisfied","Agree",11,"Passed"
TRUE,TRUE,TRUE,TRUE,"Woman","Post Doc","STEM (science, technology, engineering, mathematics)","This year","6-10 years","","Often","Never","Rarely","Sometimes","Disagree","Agree","Strongly agree","Strongly disagree","Agree","Disagree","Agree","Strongly agree","Strongly agree","Strongly agree","Neither agree nor disagree","Strongly agree","Agree","Agree","Disagree","Agree","Agree","Agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Strongly agree","Strongly disagree","Somewhat disagree","Often","Always","Always","Never","Rarely","Often","Often","Rarely","Sometimes","Often","Sometimes","Always","Always","Often","Strongly agree","Somewhat unacceptable","Somewhat unacceptable","Somewhat unacceptable","Completely unacceptable","Somewhat unacceptable","Completely unacceptable","Completely unacceptable","Somewhat unacceptable","Sometimes","Sometimes","Rarely","Rarely","Sometimes","Often","Often","Often","Strongly agree","Strongly disagree","Strongly agree","Slightly agree","Disagree","Slightly disagree","Slightly disagree","Agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","Slightly satisfied","Slightly satisfied","Slightly satisfied","Slightly satisfied","Satisfied","Satisfied","Agree",12,"Passed"
TRUE,TRUE,TRUE,TRUE,"Woman","Full Professor","Non-STEM","In the last year","More than 10 years","","Rarely","Rarely","Never","Rarely","Disagree","Disagree","Agree","Disagree","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Agree","Disagree","Agree","Neither agree nor disagree","Agree","Disagree","Disagree","Agree","Somewhat disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Sometimes","Rarely","Sometimes","Often","Rarely","Often","Often","Sometimes","Often","Often","Sometimes","Always","Always","Always","Strongly agree","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Somewhat unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Always","Always","Sometimes","Often","Often","Often","Always","Often","Agree","Slightly agree","Slightly disagree","Neither agree nor disagree","Slightly disagree","Agree","Strongly agree","Disagree","Disagree","Disagree","Slightly disagree","Agree","Very satisfied","Very satisfied","Dissatisfied","Satisfied","Satisfied","Neither satisfied nor dissatisfied","Agree",13,"Passed"
TRUE,TRUE,TRUE,TRUE,"Woman","Post Doc","Non-STEM","In the last year","6-10 years","","Rarely","Sometimes","Rarely","Rarely","Disagree","Neither agree nor disagree","Disagree","Disagree","Agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Strongly agree","Neither agree nor disagree","Agree","Agree","Disagree","Disagree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat disagree","Strongly agree","Strongly agree","Rarely","Sometimes","Rarely","Often","Rarely","Often","Often","Often","Always","Often","Often","Often","Often","Often","Strongly agree","Somewhat unacceptable","Completely unacceptable","Completely unacceptable","Somewhat unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Neither acceptable or unacceptable","Often","Often","Often","Often","Always","Often","Sometimes","Rarely","Agree","Strongly disagree","Slightly agree","Slightly agree","Disagree","Strongly agree","Disagree","Disagree","Strongly disagree","Strongly disagree","Agree","Strongly disagree","Slightly satisfied","Slightly satisfied","Slightly satisfied","Very satisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Agree",14,"Passed"
TRUE,TRUE,TRUE,TRUE,"Woman","PhD student","STEM (science, technology, engineering, mathematics)","More than 10 years ago or Never","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",15,"Failed"
TRUE,TRUE,TRUE,TRUE,"Woman","Assistant Professor","Non-STEM","In the last year","6-10 years","","Often","Often","Sometimes","Often","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Strongly disagree","Agree","Agree","Agree","Strongly agree","Disagree","Agree","Strongly agree","Agree","Strongly agree","Disagree","Agree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Strongly agree","Somewhat disagree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Always","Always","Always","Never","Rarely","Often","Always","Sometimes","Often","Often","Sometimes","Sometimes","Often","Often","Strongly agree","Completely unacceptable","Completely unacceptable","Somewhat unacceptable","Neither acceptable or unacceptable","Somewhat acceptable","Completely unacceptable","Somewhat unacceptable","Completely unacceptable","Often","Sometimes","Rarely","Sometimes","Rarely","Sometimes","Often","Sometimes","Slightly agree","Strongly agree","Disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Strongly agree","Slightly disagree","Neither agree nor disagree","Disagree","Strongly disagree","Agree","Dissatisfied","Dissatisfied","Very dissatisfied","Dissatisfied","Slightly dissatisfied","Neither satisfied nor dissatisfied","Agree",16,"Passed"
TRUE,TRUE,TRUE,TRUE,"Woman","PhD student","Non-STEM","This year","1-5 years","3-4 articles","Often","Sometimes","Rarely","Often","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Sometimes","Sometimes","Sometimes","Sometimes","Rarely","Always","Always","Often","Sometimes","Sometimes","Sometimes","Often","Often","Often","Strongly agree","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Somewhat unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Sometimes","Never","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Slightly agree","Strongly agree","Neither agree nor disagree","Slightly agree","Slightly disagree","Slightly disagree","Agree","Neither agree nor disagree","Slightly disagree","Slightly disagree","Slightly disagree","Neither agree nor disagree","Slightly satisfied","Slightly satisfied","Neither satisfied nor dissatisfied","Slightly satisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Agree",17,"Passed"
TRUE,TRUE,TRUE,TRUE,"Woman","PhD student","Non-STEM","This year","1-5 years","1-2 articles","Often","Rarely","Sometimes","Sometimes","Disagree","Neither agree nor disagree","Disagree","Disagree","Agree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Neither agree nor disagree","Agree","Somewhat agree","Somewhat disagree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Often","Sometimes","Sometimes","Sometimes","Rarely","Always","Always","Sometimes","Always","Always","Sometimes","Often","Often","Often","Strongly agree","Completely unacceptable","Completely unacceptable","Somewhat unacceptable","Completely unacceptable","Somewhat unacceptable","Completely unacceptable","Completely unacceptable","Somewhat unacceptable","Sometimes","Often","Often","Often","Often","Often","Often","Often","Slightly disagree","Disagree","Agree","Disagree","Slightly agree","Slightly agree","Disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Disagree","Slightly dissatisfied","Slightly dissatisfied","Slightly dissatisfied","Satisfied","Slightly satisfied","Slightly satisfied","Agree",18,"Passed"
TRUE,TRUE,TRUE,TRUE,"Man","PhD student","Non-STEM","In the last 5 years","1-5 years","3-4 articles","Often","Always","Often","Often","Agree","Agree","Agree","Strongly agree","Agree","Strongly agree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Often","Often","Often","Always","Always","Rarely","Rarely","Rarely","Sometimes","Often","Often","Sometimes","Sometimes","Sometimes","Strongly agree","Neither acceptable or unacceptable","Neither acceptable or unacceptable","Somewhat acceptable","Completely acceptable","Somewhat acceptable","Neither acceptable or unacceptable","Neither acceptable or unacceptable","Neither acceptable or unacceptable","Often","Often","Often","Often","Often","Often","Sometimes","Often","Slightly agree","Strongly agree","Strongly agree","Slightly agree","Agree","Slightly agree","Agree","Strongly agree","Slightly agree","Strongly agree","Agree","Strongly agree","Satisfied","Satisfied","Neither satisfied nor dissatisfied","Slightly satisfied","Neither satisfied nor dissatisfied","Slightly dissatisfied","Agree",19,"Passed"
TRUE,TRUE,TRUE,TRUE,"Woman","This does not apply to me","STEM (science, technology, engineering, mathematics)","In the last 5 years","Less than 1 year","","Always","Always","Always","Always","Agree","Disagree","Agree","Strongly agree","Neither agree nor disagree","Agree","Disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Strongly disagree","Agree","Neither agree nor disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Often","Often","Often","Rarely","Rarely","Never","Never","Never","Rarely","Rarely","Never","Rarely","Never","Rarely","Strongly agree","Completely unacceptable","Completely unacceptable","Somewhat unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Completely unacceptable","Never","Never","Rarely","Rarely","Never","Never","Never","Never","Slightly agree","Agree","Neither agree nor disagree","Strongly disagree","Slightly agree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Slightly dissatisfied","Very dissatisfied","Very dissatisfied","Very dissatisfied","Agree",20,"Passed"
TRUE,TRUE,TRUE,FALSE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",21,"Failed"
